X,Y,id,left,top,right,bottom,row_index,col_index
295664.306578558,1616680.33248061,11817,295664.306578558,1616680.33248061,295714.306578558,1616730.33248061,460,17
295664.306578558,1616380.33248061,11823,295664.306578558,1616380.33248061,295714.306578558,1616430.33248061,466,17
295664.306578558,1616330.33248061,11824,295664.306578558,1616330.33248061,295714.306578558,1616380.33248061,467,17
295664.306578558,1616280.33248061,11825,295664.306578558,1616280.33248061,295714.306578558,1616330.33248061,468,17
295664.306578558,1611080.33248061,11929,295664.306578558,1611080.33248061,295714.306578558,1611130.33248061,572,17
295664.306578558,1610180.33248061,11947,295664.306578558,1610180.33248061,295714.306578558,1610230.33248061,590,17
295664.306578558,1610030.33248061,11950,295664.306578558,1610030.33248061,295714.306578558,1610080.33248061,593,17
295664.306578558,1609980.33248061,11951,295664.306578558,1609980.33248061,295714.306578558,1610030.33248061,594,17
295664.306578558,1609880.33248061,11953,295664.306578558,1609880.33248061,295714.306578558,1609930.33248061,596,17
295664.306578558,1609830.33248061,11954,295664.306578558,1609830.33248061,295714.306578558,1609880.33248061,597,17
295664.306578558,1609780.33248061,11955,295664.306578558,1609780.33248061,295714.306578558,1609830.33248061,598,17
295664.306578558,1609730.33248061,11956,295664.306578558,1609730.33248061,295714.306578558,1609780.33248061,599,17
295664.306578558,1607230.33248061,12006,295664.306578558,1607230.33248061,295714.306578558,1607280.33248061,649,17
295664.306578558,1607130.33248061,12008,295664.306578558,1607130.33248061,295714.306578558,1607180.33248061,651,17
295664.306578558,1606980.33248061,12011,295664.306578558,1606980.33248061,295714.306578558,1607030.33248061,654,17
295664.306578558,1606880.33248061,12013,295664.306578558,1606880.33248061,295714.306578558,1606930.33248061,656,17
295664.306578558,1606830.33248061,12014,295664.306578558,1606830.33248061,295714.306578558,1606880.33248061,657,17
295664.306578558,1606730.33248061,12016,295664.306578558,1606730.33248061,295714.306578558,1606780.33248061,659,17
295664.306578558,1606680.33248061,12017,295664.306578558,1606680.33248061,295714.306578558,1606730.33248061,660,17
295714.306578558,1617130.33248061,12476,295714.306578558,1617130.33248061,295764.306578558,1617180.33248061,451,18
295714.306578558,1616880.33248061,12481,295714.306578558,1616880.33248061,295764.306578558,1616930.33248061,456,18
295714.306578558,1616730.33248061,12484,295714.306578558,1616730.33248061,295764.306578558,1616780.33248061,459,18
295714.306578558,1616630.33248061,12486,295714.306578558,1616630.33248061,295764.306578558,1616680.33248061,461,18
295714.306578558,1616580.33248061,12487,295714.306578558,1616580.33248061,295764.306578558,1616630.33248061,462,18
295714.306578558,1616180.33248061,12495,295714.306578558,1616180.33248061,295764.306578558,1616230.33248061,470,18
295714.306578558,1614080.33248061,12537,295714.306578558,1614080.33248061,295764.306578558,1614130.33248061,512,18
295714.306578558,1614030.33248061,12538,295714.306578558,1614030.33248061,295764.306578558,1614080.33248061,513,18
295714.306578558,1613980.33248061,12539,295714.306578558,1613980.33248061,295764.306578558,1614030.33248061,514,18
295714.306578558,1613930.33248061,12540,295714.306578558,1613930.33248061,295764.306578558,1613980.33248061,515,18
295714.306578558,1613880.33248061,12541,295714.306578558,1613880.33248061,295764.306578558,1613930.33248061,516,18
295714.306578558,1613780.33248061,12543,295714.306578558,1613780.33248061,295764.306578558,1613830.33248061,518,18
295714.306578558,1611930.33248061,12580,295714.306578558,1611930.33248061,295764.306578558,1611980.33248061,555,18
295714.306578558,1611230.33248061,12594,295714.306578558,1611230.33248061,295764.306578558,1611280.33248061,569,18
