X,Y,id,left,top,right,bottom,row_index,col_index
296414.306578558,1609280.33248061,5649,296414.306578558,1609280.33248061,296514.306578558,1609380.33248061,304,16
296414.306578558,1608780.33248061,5654,296414.306578558,1608780.33248061,296514.306578558,1608880.33248061,309,16
296414.306578558,1607780.33248061,5664,296414.306578558,1607780.33248061,296514.306578558,1607880.33248061,319,16
296414.306578558,1607580.33248061,5666,296414.306578558,1607580.33248061,296514.306578558,1607680.33248061,321,16
296514.306578558,1623380.33248061,5842,296514.306578558,1623380.33248061,296614.306578558,1623480.33248061,163,17
296514.306578558,1618780.33248061,5888,296514.306578558,1618780.33248061,296614.306578558,1618880.33248061,209,17
296514.306578558,1618580.33248061,5890,296514.306578558,1618580.33248061,296614.306578558,1618680.33248061,211,17
296514.306578558,1618480.33248061,5891,296514.306578558,1618480.33248061,296614.306578558,1618580.33248061,212,17
296514.306578558,1616580.33248061,5910,296514.306578558,1616580.33248061,296614.306578558,1616680.33248061,231,17
296514.306578558,1616380.33248061,5912,296514.306578558,1616380.33248061,296614.306578558,1616480.33248061,233,17
296514.306578558,1616280.33248061,5913,296514.306578558,1616280.33248061,296614.306578558,1616380.33248061,234,17
296514.306578558,1614280.33248061,5933,296514.306578558,1614280.33248061,296614.306578558,1614380.33248061,254,17
296514.306578558,1613680.33248061,5939,296514.306578558,1613680.33248061,296614.306578558,1613780.33248061,260,17
296514.306578558,1612480.33248061,5951,296514.306578558,1612480.33248061,296614.306578558,1612580.33248061,272,17
296514.306578558,1610180.33248061,5974,296514.306578558,1610180.33248061,296614.306578558,1610280.33248061,295,17
296514.306578558,1609880.33248061,5977,296514.306578558,1609880.33248061,296614.306578558,1609980.33248061,298,17
296514.306578558,1609780.33248061,5978,296514.306578558,1609780.33248061,296614.306578558,1609880.33248061,299,17
296514.306578558,1609680.33248061,5979,296514.306578558,1609680.33248061,296614.306578558,1609780.33248061,300,17
296514.306578558,1609580.33248061,5980,296514.306578558,1609580.33248061,296614.306578558,1609680.33248061,301,17
296514.306578558,1609380.33248061,5982,296514.306578558,1609380.33248061,296614.306578558,1609480.33248061,303,17
296514.306578558,1608380.33248061,5992,296514.306578558,1608380.33248061,296614.306578558,1608480.33248061,313,17
296514.306578558,1608280.33248061,5993,296514.306578558,1608280.33248061,296614.306578558,1608380.33248061,314,17
296514.306578558,1608180.33248061,5994,296514.306578558,1608180.33248061,296614.306578558,1608280.33248061,315,17
296514.306578558,1608080.33248061,5995,296514.306578558,1608080.33248061,296614.306578558,1608180.33248061,316,17
296614.306578558,1623080.33248061,6179,296614.306578558,1623080.33248061,296714.306578558,1623180.33248061,166,18
296614.306578558,1622980.33248061,6180,296614.306578558,1622980.33248061,296714.306578558,1623080.33248061,167,18
296614.306578558,1618780.33248061,6222,296614.306578558,1618780.33248061,296714.306578558,1618880.33248061,209,18
296614.306578558,1618680.33248061,6223,296614.306578558,1618680.33248061,296714.306578558,1618780.33248061,210,18
296614.306578558,1618580.33248061,6224,296614.306578558,1618580.33248061,296714.306578558,1618680.33248061,211,18
296614.306578558,1618380.33248061,6226,296614.306578558,1618380.33248061,296714.306578558,1618480.33248061,213,18
296614.306578558,1617980.33248061,6230,296614.306578558,1617980.33248061,296714.306578558,1618080.33248061,217,18
296614.306578558,1614880.33248061,6261,296614.306578558,1614880.33248061,296714.306578558,1614980.33248061,248,18
296614.306578558,1614080.33248061,6269,296614.306578558,1614080.33248061,296714.306578558,1614180.33248061,256,18
296614.306578558,1613980.33248061,6270,296614.306578558,1613980.33248061,296714.306578558,1614080.33248061,257,18
296614.306578558,1613780.33248061,6272,296614.306578558,1613780.33248061,296714.306578558,1613880.33248061,259,18
296614.306578558,1612980.33248061,6280,296614.306578558,1612980.33248061,296714.306578558,1613080.33248061,267,18
